ITEM: 126b6b19-2e75-4fdb-b351-de5f1d0b636b | UN aims to raise nearly $50 million for Nepal flood response | LOC: दार्चुला | COORDS: (29.912733, 80.793716) | CLUSTER: caa30e39-7da6-4c56-bde3-fb7b19865e1e
ITEM: 158c37af-a1af-4d1e-a19c-dacc5e4fc48a | NDMA Sachet Alert: Landslide Risk High along Rishikesh-Badrinath Highway | LOC: Gopeshwar | COORDS: (30.40878, 79.31855) | CLUSTER: d2e541da-c064-45bd-831c-b6f052a5b74f
ITEM: 19ea6157-af49-4b95-a75b-1271f5fcb9dd | Delhi-NCR Weather Today: Will it rain in Delhi, Noida, Gurugram & Ghaziabad? Check IMD forecast | LOC: Delhi | COORDS: (28.666453, 77.216978) | CLUSTER: 9d3106cf-ee04-4dd0-a325-d3624475e09e
ITEM: 209a453a-b58b-418e-ae86-80901d1474d0 | Weather tomorrow: IMD warns of extremely heavy rain in West Bengal, Odisha; heavy showers likely in several states | LOC: Delhi | COORDS: (28.666453, 77.216978) | CLUSTER: 9d3106cf-ee04-4dd0-a325-d3624475e09e
ITEM: c16edf24-90ba-4af2-b417-e555cd7a84d5 | Why Nepal floods should worry India | LOC: Kosi River Basin, Bihar | COORDS: (None, None) | CLUSTER: None
ITEM: cac70b68-4e76-4a54-b35b-44247e6f8cbf | As climate change warms the Himalayas, disasters like the Nepal floods are becoming more frequent | LOC: Nepal | COORDS: (None, None) | CLUSTER: None
ITEM: 532b4c6e-6ba4-4693-beb5-5c1ab1d1258b | Early warning of the Gohna lake burst of 1894 | LOC: Ganga Basin, India | COORDS: (None, None) | CLUSTER: None
ITEM: 20ed0b9b-1d08-4d8b-9a9a-f20caf3933fb | Fatal Floods Expose Threats to Hydropower in the Roof of the World | LOC: दार्चुला | COORDS: (29.912733, 80.793716) | CLUSTER: caa30e39-7da6-4c56-bde3-fb7b19865e1e
ITEM: 268166a2-07f0-4cd4-b855-85c17849d4ee | Rebuilding in Nepal-Tibet will be challenging – communities in India are still recovering from 2023 glacial disaster | LOC: Gangtok | COORDS: (27.329046, 88.612267) | CLUSTER: 52fb18a6-1c90-426c-a050-6ba70d574240
ITEM: 354383d7-ee7e-4818-a1fd-a1683068f384 | Low pressure, monsoon trough over city, more rain likely today | LOC: Kolkata | COORDS: (22.572646, 88.363895) | CLUSTER: 9d3106cf-ee04-4dd0-a325-d3624475e09e
ITEM: 3a769581-5d9b-48c2-b970-592665149a35 | Nepal’s Floods Upset Its China-India Balancing Act | LOC: दार्चुला | COORDS: (29.912733, 80.793716) | CLUSTER: caa30e39-7da6-4c56-bde3-fb7b19865e1e
ITEM: 410c2303-1376-40bd-b590-17254b524904 | Trapped Nepal workers pulled alive from tunnel 9 days after deadly flooding, raising hope for more rescues | LOC: दार्चुला | COORDS: (29.912733, 80.793716) | CLUSTER: caa30e39-7da6-4c56-bde3-fb7b19865e1e
ITEM: 8f862110-bbc2-4346-b655-e2d773b5bc23 | Facts and evidence on one side, accusations and rumors on the other | LOC: Nepal | COORDS: (None, None) | CLUSTER: None
ITEM: 46bd3e98-2442-4117-bb50-8ae32fa60eaf | Waterlogging In Delhi, Red Alert For Heavy Rain, Flight Delays Expected | LOC: Delhi | COORDS: (28.666453, 77.216978) | CLUSTER: 9d3106cf-ee04-4dd0-a325-d3624475e09e
ITEM: 4cc0586e-802e-4bd6-a9de-bbf77eb485fa | IMD issues orange alert for Uttarakhand as rain lashes Dehradun, Nainital | LOC: Dehradun | COORDS: (30.325565, 78.043681) | CLUSTER: 9d3106cf-ee04-4dd0-a325-d3624475e09e
ITEM: 540acb5a-8365-40d2-b298-f13a06a9a566 | Himachal Pradesh to see active monsoon till September 3 as 98 roads remain blocked | LOC: Himachal Pradesh | COORDS: (31.929235, 77.182846) | CLUSTER: 681d3646-e8fb-4135-959b-3322aa7334da
ITEM: 557a41e9-bc3e-482a-80c1-92252ba209ba | Earthquake tremors felt in Guwahati, Assam around 2 minutes ago | LOC: Guwahati | COORDS: (26.180598, 91.753943) | CLUSTER: 86e1dcb9-0f41-42dc-9f2d-c899d75f423c
ITEM: 6d0578c5-91f5-4363-b68e-42f726036341 | Nepal flood disaster puts climate justice under spotlight | LOC: Nepal | COORDS: (None, None) | CLUSTER: None
ITEM: 5a2c300a-5822-4a98-9fe2-33c3fca4334d | China exerts tight grip on information after floods | LOC: दार्चुला | COORDS: (29.912733, 80.793716) | CLUSTER: caa30e39-7da6-4c56-bde3-fb7b19865e1e
